molecule_chembl_id,canonical_smiles,bioactivity_class,MW,logP,NumHAcceptors,NumHDonors,pIC50
CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,inactive,421.19000000000005,2.6605000000000008,4.0,0.0,-13.130333768495007
CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,inactive,293.34700000000004,3.6308000000000016,3.0,0.0,-13.117602691690085
CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,active,372.24300000000005,4.393300000000003,3.0,0.0,-11.991226075692495
CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,active,419.24300000000005,4.235400000000002,3.0,0.0,-11.977723605288848
CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,inactive,327.7920000000001,4.284200000000002,3.0,0.0,-13.049218022670182
CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,inactive,445.28100000000006,4.748600000000002,3.0,0.0,-13.371067862271737
CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,inactive,522.7510000000001,4.987900000000002,4.0,1.0,-13.099335277685958
CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,inactive,480.327,3.708300000000003,4.0,0.0,-13.243038048686294
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,inactive,580.6820000000004,2.6858200000000014,8.0,3.0,-13.653212513775344
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,558.6760000000003,2.7994200000000014,8.0,3.0,-13.845098040014257
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,inactive,329.137,2.6206000000000014,2.0,0.0,-13.81954393554187
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,330.34299999999996,2.6682000000000006,3.0,1.0,-11.568201724066995
